E1 [GeV],E2 [GeV],E1+(E2-E1)/2,s [GeV^2],sigma [nb],err. sigma [nb] bare,alphaRatio,alphaRatioL,alphaRatioH
0.9560,0.9580,0.9570,0.9158,94.94549,2.57963,1.01689,1.01677,1.01702
0.9580,0.9600,0.9590,0.9197,89.25667,2.13248,1.01669,1.01657,1.01682
0.9600,0.9620,0.9610,0.9235,88.40681,2.54816,1.01648,1.01635,1.01661
0.9620,0.9640,0.9630,0.9274,86.31534,1.95674,1.01625,1.01612,1.01638
0.9640,0.9660,0.9650,0.9312,82.38138,2.09390,1.01601,1.01588,1.01615
0.9660,0.9680,0.9670,0.9351,80.81125,2.13539,1.01576,1.01562,1.01590
0.9680,0.9700,0.9690,0.9390,79.51348,2.32598,1.01549,1.01534,1.01564
0.9700,0.9720,0.9710,0.9428,79.14629,2.38683,1.01522,1.01507,1.01537
0.9720,0.9740,0.9730,0.9467,82.09293,2.39002,1.01493,1.01478,1.01509
0.9740,0.9760,0.9750,0.9506,76.11460,1.74979,1.01464,1.01448,1.01481
0.9760,0.9780,0.9770,0.9545,73.13964,2.07533,1.01434,1.01417,1.01451
0.9780,0.9800,0.9790,0.9584,73.99405,2.12724,1.01401,1.01384,1.01419
0.9800,0.9820,0.9810,0.9624,70.70188,1.96335,1.01363,1.01345,1.01381
0.9820,0.9840,0.9830,0.9663,71.92956,1.81812,1.01322,1.01303,1.01341
0.9840,0.9860,0.9850,0.9702,67.17074,2.18207,1.01274,1.01254,1.01294
0.9860,0.9880,0.9870,0.9742,68.83092,1.97739,1.01220,1.01199,1.01241
0.9880,0.9900,0.9890,0.9781,64.37755,1.90782,1.01159,1.01136,1.01182
0.9900,0.9920,0.9910,0.9821,66.50319,2.15347,1.01089,1.01065,1.01114
0.9920,0.9940,0.9930,0.9860,63.60856,1.71685,1.01016,1.00989,1.01042
0.9940,0.9960,0.9950,0.9900,63.42893,1.69409,1.00932,1.00903,1.00961
0.9960,0.9980,0.9970,0.9940,61.82197,1.81624,1.00839,1.00807,1.00870
0.9980,1.0000,0.9990,0.9980,61.39067,2.06360,1.00724,1.00688,1.00760
1.0000,1.0100,1.0050,1.0100,59.46317,1.57942,1.00151,1.00104,1.00199
1.0100,1.0200,1.0150,1.0302,55.48840,1.48186,0.97282,0.97164,0.97401
1.0200,1.0300,1.0250,1.0506,42.67400,1.16288,1.06278,1.06152,1.06403
1.0300,1.0400,1.0350,1.0712,42.76089,1.29947,1.03587,1.03537,1.03638
1.0400,1.0500,1.0450,1.0920,39.75994,1.19043,1.02940,1.02909,1.02971
1.0500,1.0600,1.0550,1.1130,36.72077,1.08106,1.02655,1.02633,1.02678
1.0600,1.0700,1.0650,1.1342,34.88315,1.15828,1.02482,1.02463,1.02501
1.0700,1.0800,1.0750,1.1556,33.36570,1.15134,1.02361,1.02345,1.02378
1.0800,1.0900,1.0850,1.1772,30.03311,1.00221,1.02273,1.02257,1.02288
1.0900,1.1000,1.0950,1.1990,29.61138,0.97824,1.02204,1.02189,1.02218
1.1000,1.1100,1.1050,1.2210,26.33881,0.94559,1.02149,1.02135,1.02162
1.1100,1.1200,1.1150,1.2432,25.22423,0.95938,1.02101,1.02087,1.02114
1.1200,1.1300,1.1250,1.2656,22.87804,0.90616,1.02059,1.02046,1.02072
1.1300,1.1400,1.1350,1.2882,21.23511,0.79667,1.02024,1.02011,1.02037
1.1400,1.1500,1.1450,1.3110,21.02308,0.84407,1.01994,1.01981,1.02007
1.1500,1.1600,1.1550,1.3340,19.78130,0.82415,1.01968,1.01954,1.01981
1.1600,1.1700,1.1650,1.3572,17.68636,0.77696,1.01946,1.01932,1.01959
1.1700,1.1800,1.1750,1.3806,16.32276,0.67779,1.01925,1.01911,1.01939
1.1800,1.1900,1.1850,1.4042,15.87128,0.73417,1.01906,1.01891,1.01920
1.1900,1.2000,1.1950,1.4280,14.61016,0.67185,1.01887,1.01872,1.01902
1.2000,1.2100,1.2050,1.4520,13.28625,0.61836,1.01869,1.01854,1.01884
1.2100,1.2200,1.2150,1.4762,12.40452,0.62842,1.01851,1.01835,1.01867
1.2200,1.2300,1.2250,1.5006,11.34202,0.55918,1.01836,1.01820,1.01852
1.2300,1.2400,1.2350,1.5252,10.80108,0.53514,1.01823,1.01807,1.01840
1.2400,1.2500,1.2450,1.5500,10.82458,0.59909,1.01812,1.01794,1.01829
1.2500,1.2600,1.2550,1.5750,9.84104,0.52196,1.01802,1.01783,1.01820
1.2600,1.2700,1.2650,1.6002,9.83737,0.56868,1.01792,1.01773,1.01811
1.2700,1.2800,1.2750,1.6256,8.58472,0.51367,1.01782,1.01762,1.01803
1.2800,1.2900,1.2850,1.6512,8.06022,0.50400,1.01772,1.01751,1.01793
